latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,fundamental_score,multifactor_score,5d_avg_price,close_vs_avg_pct,5d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,5d_foreign_net_lot,5d_trust_net_lot,5d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-28,3231,緯創,TWSE,電腦及週邊設備業,AI伺服器/組裝,5,170.0,17.05,3.24,2.84,3.66,,,-7.61,10.75,237.741,2.2,252,25.46,41.08,-5.59,-36.25,-15.42,55.96,10.29,22.11,5.88,3.0,2026-07-24,60.75,3.79,1.92,64.63,30.21,-3.24,6.0,2026Q1,5.21,3.44,1.14,-2,10.25,16.59,-0.9,99.56,173.5149,-2.03,685074.28,83361.43,137014.86,137014.86,0.61,1.0,-4.7,正常,141134.86,18251.75,159386.61,20.6,2.66,5,0,4,0,1838.94,4658.55,,,,,,,0,,,,0.0,64.66,-3224,1030,0.47,85.73,未取得,0.0,85.73,0.0,0.0,0.0,0.0,0.0,20.6,85.73,2026-06,10.9,53.85,94.01,,,,營收 2026-06，月增 10.9%，年增 53.85%，累計年增 94.01%,外資買超；投信買超；融資下降；毛利率連2降；千張大戶增持；營收 2026-06，月增 10.9%，年增 53.85%，累計年增 94.01%,85.73
2026-07-28,2885,元大金,TWSE,金融保險業,金控,5,63.5,19.54,3.46,2.36,0.63,,,-2.01,3.59,18.273,0.38,252,52.64,100.32,21.59,22.99,-12.17,106.17,2.1,41.25,11.85,1.5,2026-07-24,80.23,-0.17,-0.27,82.83,13.35,0.11,-2.17,2026Q1,,,36.04,0,3.23,19.66,4.5,103.46,63.163,0.53,144647.71,36615.13,28929.54,28929.54,1.27,1.0,6.19,正常,24356.88,10698.16,35055.04,16.84,7.4,0,1,4,0,-9057.2,4030.02,,,,,,,0,,,,0.0,64.49,-547,-33,0.37,84.31,未取得,0.0,84.31,0.0,0.0,0.0,0.0,0.0,19.45,84.31,2026-06,-7.92,102.76,84.79,,,,營收 2026-06，月增 -7.92%，年增 102.76%，累計年增 84.79%,外資買超；投信買超；融資下降；營收 2026-06，月增 -7.92%，年增 102.76%，累計年增 84.79%,84.31
2026-07-28,2006,東和鋼鐵,TWSE,鋼鐵工業,,5,72.5,10.94,5.93,1.63,1.97,,,-0.82,2.26,1.735,6.18,252,1.97,10.86,-29.08,-66.47,-13.69,23.51,6.2,7.82,0.71,6.0,2026-07-24,73.43,-0.36,-0.7,79.67,15.28,-0.08,-4.38,2026Q1,14.74,10.22,8.91,-1,6.63,10.94,0.3,85.23,71.9833,0.72,12052.22,2094.28,2410.44,2410.44,0.87,1.0,-1.57,正常,3140.78,945.6,4086.37,26.06,7.85,5,0,3,0,455.59,160.0,,,,,,,0,,,,0.0,75.11,-68,2,0.57,77.21,未取得,0.0,77.21,0.0,0.0,0.0,0.0,0.0,1.53,77.21,2026-06,1.01,9.01,-1.3,,,,營收 2026-06，月增 1.01%，年增 9.01%，累計年增 -1.3%,外資買超；投信買超；融資下降；接近區間高點；千張大戶減持；營收 2026-06，月增 1.01%，年增 9.01%，累計年增 -1.3%,77.21
2026-07-28,2610,華航,TWSE,航運業,航空,5,21.75,8.5,3.72,1.29,1.87,,,-2.68,7.67,10.284,1.12,252,-4.19,4.57,-35.24,-72.76,-12.12,22.88,6.65,7.54,-0.02,6.5,2026-07-24,69.52,-0.04,-0.05,72.4,22.38,-0.03,-0.47,2026Q1,20.6,11.29,9.07,2,2.58,8.43,3.9,96.42,21.3882,1.69,240421.97,108306.11,48084.39,48084.39,2.25,1.0,18.03,強放量,43484.73,9383.43,52868.17,18.09,3.9,3,0,5,0,52784.37,664.0,,,,,,,0,,,,0.0,66.26,-4669,435,2.05,76.37,未取得,0.0,76.37,0.0,0.0,0.0,0.0,0.0,8.06,76.37,2026-06,2.5,28.82,16.09,,,,營收 2026-06，月增 2.5%，年增 28.82%，累計年增 16.09%,外資買超；投信買超；融資下降；強放量；毛利率連2升；營收 2026-06，月增 2.5%，年增 28.82%，累計年增 16.09%,76.37
2026-07-28,9917,中保科,TWSE,其他業,,5,110.5,16.3,5.61,3.43,2.79,,,-0.45,2.79,0.506,6.67,252,3.27,-3.49,-27.78,-80.82,-10.16,6.76,-1.18,-0.05,-6.01,4.5,2026-07-24,70.99,-0.02,-0.14,76.58,16.73,-0.18,-0.58,2026Q1,33.9,17.61,15.16,1,6.78,16.3,4.2,84.9,109.3981,1.01,2312.33,520.01,462.47,462.47,1.12,1.0,1.49,正常,513.71,179.0,692.71,22.22,7.74,3,0,3,0,152.52,75.0,,,,,,,0,,,,0.0,70.85,-74,0,3.2,75.37,未取得,0.0,75.37,0.0,0.0,0.0,0.0,0.0,1.32,75.37,2026-06,5.02,2.56,1.63,,,,營收 2026-06，月增 5.02%，年增 2.56%，累計年增 1.63%,外資買超；投信買超；融資下降；接近區間高點；年線之下；營收 2026-06，月增 5.02%，年增 2.56%，累計年增 1.63%,75.37
2026-07-28,1402,遠東新,TWSE,紡織纖維,,5,27.4,17.02,4.56,0.62,0.74,,,-1.62,1.86,4.85,5.44,252,-3.52,-5.35,-34.57,-82.68,-13.43,17.6,0.66,-0.53,-6.95,5.0,2026-07-24,86.63,0.14,0.24,88.59,8.33,-0.08,2.34,2026Q1,21.9,7.99,5.05,1,1.7,16.12,2.7,80.75,27.3908,0.03,88540.19,11021.15,17708.04,17708.04,0.62,1.0,-4.53,正常,30431.37,5608.6,36039.97,34.37,6.33,5,0,3,0,2833.23,350.0,,,,,,,0,,,,0.0,71.34,-343,-36,0.38,74.49,未取得,0.0,74.49,0.0,0.0,0.0,0.0,0.0,2.77,74.49,2026-06,-2.15,12.06,5.35,,,,營收 2026-06，月增 -2.15%，年增 12.06%，累計年增 5.35%,外資買超；投信買超；融資下降；接近區間高點；年線之下；營收 2026-06，月增 -2.15%，年增 12.06%，累計年增 5.35%,74.49
2026-07-28,5871,中租-KY,TWSE,其他業,,5,120.0,11.24,5.0,1.17,-2.44,,,-3.61,1.69,12.483,-1.46,252,14.29,1.69,-16.76,-75.63,-8.4,23.58,4.27,8.94,3.42,8.0,2026-07-24,64.94,0.74,1.69,70.71,22.18,-0.67,6.0,2026Q1,66.62,30.94,23.22,2,11.22,10.7,6.9,100.93,120.5892,-0.49,51758.24,15082.18,10351.65,10351.65,1.46,1.0,8.48,正常,3539.81,8053.63,11593.45,6.84,15.56,3,0,5,0,5122.72,1082.0,,,,,,,0,,,,0.0,75.18,199,-8,-0.31,73.83,未取得,0.0,73.83,0.0,0.0,0.0,0.0,0.0,-1.04,73.83,2026-06,-4.73,-0.82,-2.0,,,,營收 2026-06，月增 -4.73%，年增 -0.82%，累計年增 -2.0%,外資買超；投信買超；融資增加；毛利率連2升；千張大戶增持；營收 2026-06，月增 -4.73%，年增 -0.82%，累計年增 -2.0%,73.83
2026-07-28,8383,千附,TPEX,半導體業,,5,76.5,20.56,3.27,2.21,-8.6,,,-18.44,0.0,1.966,-8.16,252,79.58,86.59,48.53,9.26,-19.47,100.26,17.1,56.75,15.82,1.5,2026-07-24,49.47,1.3,4.56,56.37,36.27,-0.59,6.0,2026Q1,26.17,15.98,11.67,-1,3.75,20.4,1.8,88.38,85.9228,-10.97,11441.0,1534.0,2288.2,2288.2,0.67,1.0,-3.96,正常,1806.76,0.0,1806.76,15.79,0.0,5,0,0,0,328.2,0.0,,,,,,,0,,,,0.0,45.0,-503,31,4.4,73.4,未取得,0.0,73.4,0.0,0.0,0.0,0.0,0.0,24,73.4,2026-06,68.65,200.07,54.93,,,,營收 2026-06，月增 68.65%，年增 200.07%，累計年增 54.93%,外資買超；融資下降；千張大戶增持；營收 2026-06，月增 68.65%，年增 200.07%，累計年增 54.93%,73.4
2026-07-28,8096,擎亞,TPEX,電子通路業,,5,126.0,73.68,0.4,6.49,-10.32,,,-13.99,0.0,0.987,-6.0,252,155.06,199.29,124.01,121.96,-28.81,239.62,-3.92,65.31,17.2,-3.5,2026-07-24,46.46,0.36,-5.18,53.18,41.01,-0.38,1.88,2026Q1,6.16,4.24,2.79,2,1.71,73.68,3.9,90.73,135.5162,-7.02,3641.0,1039.0,728.2,728.2,1.43,1.0,8.12,正常,937.0,0.0,937.0,25.73,0.0,5,0,0,0,117.02,0.0,,,,,,,0,,,,0.0,45.0,-921,91,8.0,73.19,未取得,0.0,73.19,0.0,0.0,0.0,0.0,0.0,20.19,73.19,2026-06,125.51,433.49,28.67,,,,營收 2026-06，月增 125.51%，年增 433.49%，累計年增 28.67%,外資買超；融資下降；毛利率連2升；千張大戶增持；營收 2026-06，月增 125.51%，年增 433.49%，累計年增 28.67%,73.19
2026-07-28,2637,慧洋-KY,TWSE,航運業,散裝航運,5,81.9,11.52,4.27,1.21,-2.03,,,-3.31,2.63,2.137,-1.22,252,12.97,36.27,-18.08,-41.05,-6.93,46.77,6.28,18.9,3.13,6.5,2026-07-24,77.86,-0.09,1.41,82.78,11.76,-0.19,0.78,2026Q1,28.68,27.6,27.55,-1,7.11,11.52,3.3,84.37,82.9147,-1.22,12886.34,2160.48,2577.27,2577.27,0.84,1.0,-1.94,正常,67.48,2208.87,2276.34,0.52,17.14,1,0,5,0,24.06,497.0,,,,,,,0,,,,0.0,58.55,281,26,-1.74,72.85,未取得,0.0,72.85,0.0,0.0,0.0,0.0,0.0,16.04,72.85,2026-06,3.34,57.92,32.58,,,,營收 2026-06，月增 3.34%，年增 57.92%，累計年增 32.58%,外資買超；投信買超；融資增加；營收 2026-06，月增 3.34%，年增 57.92%，累計年增 32.58%,72.85
2026-07-28,8927,北基,TPEX,油電燃氣業,,5,19.6,38.43,1.56,1.47,-1.75,,,-3.45,0.51,0.04,-1.05,251,-28.73,-53.22,-59.78,-130.55,-61.03,9.5,-3.61,-25.54,-12.0,2.0,2026-07-24,74.15,0.0,0.29,83.25,10.39,0.01,0.87,2026Q1,16.24,5.94,2.33,-1,0.49,40.0,0.3,66.03,19.9126,-1.57,1001.0,294.0,200.2,200.2,1.47,1.0,8.62,正常,242.0,0.0,242.0,24.18,0.0,4,0,0,0,79.0,0.0,,,,,,,0,,,,0.0,46.0,-76,0,7.59,71.6,未取得,0.0,71.6,0.0,0.0,0.0,0.0,0.0,18.01,71.6,2026-06,-8.6,84.75,51.49,,,,營收 2026-06，月增 -8.6%，年增 84.75%，累計年增 51.49%,外資買超；融資下降；年線之下；營收 2026-06，月增 -8.6%，年增 84.75%，累計年增 51.49%,71.6
2026-07-28,2890,永豐金,TWSE,金融保險業,金控,5,38.65,18.49,3.36,2.11,-4.33,,,-4.8,2.79,19.98,-2.6,252,33.28,54.91,2.23,-22.41,-8.63,66.95,9.77,29.27,7.6,1.5,2026-07-24,77.54,-0.03,0.05,80.75,14.3,0.05,-0.09,2026Q1,,,41.88,0,2.16,17.89,4.5,80.17,39.0427,-1.01,255876.42,31273.96,51175.29,51175.29,0.61,1.0,-4.67,正常,13857.21,17215.33,31072.54,5.42,6.73,0,1,5,0,-4410.11,2887.4,,,,,,,0,,,,0.0,53.87,-179,49,0.07,71.59,未取得,0.0,71.59,0.0,0.0,0.0,0.0,0.0,17.65,71.59,2026-06,-2.95,50.94,55.23,,,,營收 2026-06，月增 -2.95%，年增 50.94%，累計年增 55.23%,外資買超；投信買超；融資下降；營收 2026-06，月增 -2.95%，年增 50.94%，累計年增 55.23%,71.59
