latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,fundamental_score,multifactor_score,5d_avg_price,close_vs_avg_pct,5d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,5d_foreign_net_lot,5d_trust_net_lot,5d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-20,5522,遠雄,TWSE,建材營造業,,5,67.1,7.09,8.2,1.1,-0.59,,,-4.14,1.51,1.093,-0.35,252,-5.76,8.23,-44.59,-79.48,-20.02,26.84,-4.82,1.46,-0.18,8.0,2026-07-17,86.75,0.0,0.14,89.11,8.25,-0.22,0.42,2026Q1,36.88,26.72,24.34,1,9.45,7.1,5.7,108.97,67.7147,-0.91,8072.99,3185.32,1614.6,1614.6,1.97,1.0,14.67,放量,3631.5,388.0,4019.5,44.98,4.81,5,0,1,0,2245.27,136.0,,,,,,,0,,,,0.0,62.52,-123,2,1.52,88.04,未取得,0.0,88.04,0.0,0.0,0.0,0.0,0.0,24,88.04,2026-06,208.1,2513.5,792.73,,,,營收 2026-06，月增 208.1%，年增 2513.5%，累計年增 792.73%,外資買超；投信買超；融資下降；放量；營收 2026-06，月增 208.1%，年增 2513.5%，累計年增 792.73%,88.04
2026-07-20,5871,中租-KY,TWSE,其他業,,5,122.5,11.47,4.9,1.2,3.81,,,0.0,6.06,12.685,7.29,252,16.67,-4.67,-22.17,-92.38,-6.49,26.16,6.7,11.06,3.01,6.5,2026-07-17,64.2,0.79,0.95,70.07,22.85,-0.56,6.0,2026Q1,66.62,30.94,23.22,2,11.22,10.92,6.9,120.52,119.6173,2.41,53023.53,16696.54,10604.71,10604.71,1.57,1.0,9.89,放量,9974.98,8099.14,18074.12,18.81,15.27,5,0,5,0,3547.7,3150.65,,,,,,,0,,,,0.0,85.5,-756,-27,1.41,85.87,未取得,0.0,85.87,0.0,0.0,0.0,0.0,0.0,-1.04,85.87,2026-06,-4.73,-0.82,-2.0,,,,營收 2026-06，月增 -4.73%，年增 -0.82%，累計年增 -2.0%,外資買超；投信買超；融資下降；放量；接近區間高點；毛利率連2升；千張大戶增持；營收 2026-06，月增 -4.73%，年增 -0.82%，累計年增 -2.0%,85.87
2026-07-20,9917,中保科,TWSE,其他業,,5,109.0,16.08,5.69,3.38,2.35,,,-2.24,3.81,1.073,1.41,252,-0.46,-3.11,-39.29,-90.82,-11.38,5.31,-2.92,-1.51,-6.65,4.5,2026-07-17,71.01,-0.1,-0.12,76.75,16.91,-0.16,-1.16,2026Q1,33.9,17.61,15.16,1,6.78,16.08,4.2,93.41,108.4837,0.48,4946.63,1930.61,989.33,989.33,1.95,1.0,14.42,放量,1331.12,564.0,1895.12,26.91,11.4,4,0,5,0,664.39,125.0,,,,,,,0,,,,0.0,83.5,7,0,-0.11,83.9,未取得,0.0,83.9,0.0,0.0,0.0,0.0,0.0,0.51,83.9,2026-05,0.25,1.41,1.43,,,,營收 2026-05，月增 0.25%，年增 1.41%，累計年增 1.43%,外資買超；投信買超；融資增加；放量；年線之下；營收 2026-05，月增 0.25%，年增 1.41%，累計年增 1.43%,83.9
2026-07-20,6177,達麗,TWSE,建材營造業,,5,47.35,6.34,6.34,1.76,2.93,,,-3.27,3.95,0.789,1.76,252,-9.64,0.0,-48.47,-87.71,-16.34,17.2,3.89,0.61,-0.56,6.0,2026-07-17,66.9,0.39,0.34,75.48,16.47,-0.25,4.64,2026Q1,50.06,43.14,34.42,2,7.52,6.3,6.9,100.03,47.2869,0.13,8343.4,1173.54,1668.68,1668.68,0.7,1.0,-3.56,正常,2099.81,560.0,2659.81,25.17,6.71,0,1,1,0,-243.59,323.0,,,,,,,0,,,,0.0,55.28,-316,0,3.79,83.07,未取得,0.0,83.07,0.0,0.0,0.0,0.0,0.0,24,83.07,2026-06,478.4,1322.16,667.77,,,,營收 2026-06，月增 478.4%，年增 1322.16%，累計年增 667.77%,外資買超；投信買超；融資下降；毛利率連2升；千張大戶增持；營收 2026-06，月增 478.4%，年增 1322.16%，累計年增 667.77%,83.07
2026-07-20,6183,關貿,TWSE,資訊服務業,,5,90.4,22.32,3.93,4.52,0.11,,,-1.63,1.57,0.05,5.07,252,-8.04,-4.34,-46.87,-92.04,-10.5,3.91,-0.64,-4.55,-7.4,1.5,2026-07-17,71.06,0.0,0.0,77.43,13.73,-0.03,0.0,2026Q1,45.16,29.1,24.12,1,4.05,22.32,5.7,85.08,90.6341,-0.26,276.68,36.52,55.34,55.34,0.66,1.0,-4.08,正常,136.5,46.0,182.5,49.34,16.63,5,0,2,0,15.5,3.0,,,,,,,0,,,,0.0,78.0,-1,0,0.36,82.25,未取得,0.0,82.25,0.0,0.0,0.0,0.0,0.0,3.89,82.25,2026-06,9.22,7.45,9.0,,,,營收 2026-06，月增 9.22%，年增 7.45%，累計年增 9.0%,外資買超；投信買超；融資下降；接近區間高點；年線之下；營收 2026-06，月增 9.22%，年增 7.45%，累計年增 9.0%,82.25
2026-07-20,1419,新紡,TWSE,紡織纖維,,5,66.9,5.08,2.69,0.98,1.36,,,-1.04,2.61,0.088,5.82,252,-8.48,18.62,-47.31,-69.09,-17.2,31.95,2.79,5.98,-0.45,5.0,2026-07-17,85.61,0.07,0.07,90.81,5.45,-0.05,1.27,2026Q1,25.86,10.51,193.05,-1,13.15,5.09,3.3,95.67,66.4174,0.73,663.87,127.57,132.77,132.77,0.96,1.0,-0.47,正常,141.01,90.0,231.01,21.24,13.56,1,0,2,0,60.0,6.0,,,,,,,0,,,,0.0,70.0,-34,0,5.12,80.97,未取得,0.0,80.97,0.0,0.0,0.0,0.0,0.0,5.85,80.97,2026-06,-15.63,17.98,28.04,,,,營收 2026-06，月增 -15.63%，年增 17.98%，累計年增 28.04%,外資買超；投信買超；融資下降；接近區間高點；營收 2026-06，月增 -15.63%，年增 17.98%，累計年增 28.04%,80.97
2026-07-20,4416,三圓,TPEX,建材營造業,,5,10.3,12.88,0.0,0.45,-0.96,,,-7.21,3.0,0.042,-0.58,226,-65.78,,-104.61,,-83.83,11.11,-10.32,,-10.6,3.5,2026-07-17,61.55,-0.65,-1.11,73.14,19.21,1.69,-5.5,2026Q1,45.88,42.79,2.27,1,0.86,11.98,2.7,67.43,10.3933,-0.9,2037.0,265.0,407.4,407.4,0.65,1.0,-4.19,正常,323.63,0.0,323.63,15.89,0.0,5,0,0,0,56.01,0.0,,,,,,,0,,,,0.0,48.0,-369,0,8.0,80.0,未取得,0.0,80.0,0.0,0.0,0.0,0.0,0.0,24,80.0,2026-06,18599.39,256.72,382.26,,,,營收 2026-06，月增 18599.39%，年增 256.72%，累計年增 382.26%,外資買超；融資下降；千張大戶減持；營收 2026-06，月增 18599.39%，年增 256.72%，累計年增 382.26%,80.0
2026-07-20,5534,長虹,TWSE,建材營造業,,5,80.6,16.45,6.82,1.13,1.51,,,-2.42,2.15,0.568,0.91,252,-2.77,-1.83,-41.61,-89.53,-9.23,10.87,2.94,1.97,0.12,6.5,2026-07-17,60.76,0.28,1.39,69.54,23.55,-0.17,4.24,2026Q1,25.17,8.61,6.37,-2,5.32,15.15,-0.9,86.5,80.7916,-0.24,3513.74,548.04,702.75,702.75,0.78,1.0,-2.64,正常,1502.24,0.0,1502.24,42.75,0.0,5,0,0,0,73.61,0.0,,,,,,,0,,,,0.0,48.0,-519,-14,7.88,76.95,未取得,0.0,76.95,0.0,0.0,0.0,0.0,0.0,21.07,76.95,2026-06,46.61,124.21,34.2,,,,營收 2026-06，月增 46.61%，年增 124.21%，累計年增 34.2%,外資買超；融資下降；毛利率連2降；營收 2026-06，月增 46.61%，年增 124.21%，累計年增 34.2%,76.95
2026-07-20,6790,永豐實,TWSE,造紙工業,,5,39.1,12.74,6.78,1.71,1.96,,,-0.38,2.36,0.093,6.18,252,1.56,-1.26,-37.27,-88.97,-10.42,6.11,-1.64,-0.06,-6.44,4.5,2026-07-17,75.34,-0.02,-0.07,78.58,16.33,0.01,-0.37,2026Q1,28.55,9.89,8.46,-1,3.07,12.74,0.3,81.25,38.6727,1.1,1200.73,253.32,240.15,240.15,1.05,1.0,0.66,正常,347.71,118.0,465.71,28.96,9.83,5,0,2,0,52.5,77.0,,,,,,,0,,,,0.0,77.57,-8,0,0.67,76.75,未取得,0.0,76.75,0.0,0.0,0.0,0.0,0.0,-1.49,76.75,2026-05,-7.37,-2.9,-0.51,,,,營收 2026-05，月增 -7.37%，年增 -2.9%，累計年增 -0.51%,外資買超；投信買超；融資下降；接近區間高點；年線之下；營收 2026-05，月增 -7.37%，年增 -2.9%，累計年增 -0.51%,76.75
2026-07-20,2546,根基,TWSE,建材營造業,,5,96.9,10.19,6.19,2.04,3.3,,,-0.82,5.33,0.2,6.98,252,9.12,15.08,-29.71,-72.62,-1.42,25.19,8.21,11.82,7.35,6.0,2026-07-17,58.78,0.0,0.0,62.09,29.7,-0.01,0.0,2026Q1,7.76,5.33,4.36,-1,9.42,10.29,0.3,97.83,95.2565,1.73,1047.76,232.6,209.55,209.55,1.11,1.0,1.32,正常,177.14,65.0,242.14,16.91,6.2,4,0,0,0,37.2,0.0,,,,,,,0,,,,0.0,61.51,6,0,-0.46,76.54,未取得,0.0,76.54,0.0,0.0,0.0,0.0,0.0,15.49,76.54,2026-06,34.29,44.27,21.26,,,,營收 2026-06，月增 34.29%，年增 44.27%，累計年增 21.26%,外資買超；投信買超；融資增加；接近區間高點；逼近52週高點；營收 2026-06，月增 34.29%，年增 44.27%，累計年增 21.26%,76.54
