latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-06-30,2887,台新新光金,TWSE,金融保險業,金控,20,33.25,16.3,3.31,1.46,27.39,74.67,48.08,-0.89,36.83,36.164,18.0,252,60.24,105.88,-13.13,-6.96,-0.89,111.11,27.27,55.96,14.42,5.0,101.37,29.6005,12.33,2443441.2,79205.48,122172.06,65106.05,0.65,0.53,-11.69,正常,181274.12,367770.33,549044.45,7.42,15.05,0,1,2,0,-3794.02,21749.0,,,,,,,0.0,50.84,-4980,120,0.21,69.79,未取得,0.0,69.79,0.0,0.0,0.0,0.0,0.0,18.74,69.79,2026-05,-13.81,117.88,105.23,,,,營收 2026-05，月增 -13.81%，年增 117.88%，累計年增 105.23%,外資買超；投信買超；融資下降；接近區間高點；逼近52週高點；營收 2026-05，月增 -13.81%，年增 117.88%，累計年增 105.23%,69.79
2026-06-30,2890,永豐金,TWSE,金融保險業,金控,20,39.9,19.09,3.26,2.18,28.71,77.56,53.47,-2.44,31.68,23.508,5.0,252,38.3,62.86,-35.07,-49.98,-2.44,72.35,21.7,38.86,10.23,1.5,100.36,36.3055,9.9,1294988.5,69890.54,64749.42,57490.25,1.08,0.89,-0.84,正常,193694.27,192104.11,385798.38,14.96,14.83,0,1,9,0,-20955.04,36854.32,,,,,,,0.0,63.5,-2094,397,0.18,84.05,未取得,0.0,84.05,0.0,0.0,0.0,0.0,0.0,20.37,84.05,2026-05,4.89,82.69,56.17,,,,營收 2026-05，月增 4.89%，年增 82.69%，累計年增 56.17%,外資買超；投信買超；融資下降；RSI過熱；營收 2026-05，月增 4.89%，年增 82.69%，累計年增 56.17%,84.05
2026-06-30,2892,第一金,TWSE,金融保險業,金控,20,32.75,16.79,3.97,1.58,16.34,74.73,25.18,-1.5,18.23,18.066,18.0,252,11.77,11.77,-61.6,-101.07,-1.5,20.4,11.31,12.28,7.58,3.0,97.82,30.9632,5.77,1166943.92,53949.83,58347.2,46884.59,0.92,0.8,-4.05,正常,149570.77,214178.35,363749.13,12.82,18.35,0,3,10,0,-27091.7,29892.0,,,,,,,0.0,63.5,-7685,11,0.66,71.27,未取得,0.0,71.27,0.0,0.0,0.0,0.0,0.0,7.11,71.27,2026-05,-0.23,26.92,14.33,,,,營收 2026-05，月增 -0.23%，年增 26.92%，累計年增 14.33%,外資買超；投信買超；融資下降；接近區間高點；逼近52週高點；營收 2026-05，月增 -0.23%，年增 26.92%，累計年增 14.33%,71.27
2026-06-30,2610,華航,TWSE,航運業,航空,20,23.7,9.26,3.42,1.41,21.54,78.38,43.26,-4.24,25.4,16.381,5.0,252,19.1,7.73,-54.28,-105.11,-4.24,33.9,22.57,17.26,2.31,6.5,57.11,21.7186,9.12,1508450.66,80188.85,75422.53,99569.27,1.06,1.32,5.88,放量,194644.45,27892.47,222536.92,12.9,1.85,0,1,1,0,-13231.79,24011.72,,,,,,,0.0,32.92,-690,204,0.05,40.36,未取得,0.0,40.36,0.0,0.0,0.0,0.0,0.0,7.39,40.36,2026-05,1.8,27.73,13.62,,,,營收 2026-05，月增 1.8%，年增 27.73%，累計年增 13.62%,外資買超；投信買超；融資下降；放量；RSI過熱；營收 2026-05，月增 1.8%，年增 27.73%，累計年增 13.62%,40.36
2026-06-30,2801,彰銀,TWSE,金融保險業,,20,24.0,15.0,4.38,1.25,16.5,81.48,27.85,0.0,18.23,8.613,10.0,252,15.11,23.08,-58.27,-89.76,0.0,31.51,12.32,17.18,7.91,5.0,85.39,22.3213,7.52,771774.34,70965.94,38588.72,32506.13,1.84,0.84,10.55,放量,168620.96,53103.21,221724.17,21.85,6.88,0,1,1,0,-33188.8,40518.34,,,,,,,0.0,49.7,1922,80,-0.19,57.2,未取得,0.0,57.2,0.0,0.0,0.0,0.0,0.0,7.69,57.2,2026-05,6.03,24.59,15.86,,,,營收 2026-05，月增 6.03%，年增 24.59%，累計年增 15.86%,外資買超；投信買超；融資增加；放量；接近區間高點；逼近52週高點；RSI過熱；營收 2026-05，月增 6.03%，年增 24.59%，累計年增 15.86%,57.2
2026-06-30,2834,臺企銀,TWSE,金融保險業,,20,17.75,13.55,5.63,1.16,8.9,66.67,25.33,-1.93,10.25,8.293,14.34,252,9.91,13.78,-63.47,-99.06,-1.93,19.93,7.92,12.0,7.39,6.5,61.34,17.2653,2.81,960634.66,29470.24,48031.73,39099.86,0.61,0.81,-7.61,正常,207789.98,-753.99,207035.99,21.63,-0.08,0,1,0,2,-9717.88,-6.21,,,,,,,0.0,30.8,-3640,12,0.38,36.91,未取得,0.0,36.91,0.0,0.0,0.0,0.0,0.0,5.73,36.91,2026-05,4.45,22.52,7.17,,,,營收 2026-05，月增 4.45%，年增 22.52%，累計年增 7.17%,外資買超；融資下降；接近區間高點；逼近52週高點；營收 2026-05，月增 4.45%，年增 22.52%，累計年增 7.17%,36.91
2026-06-30,2618,長榮航,TWSE,航運業,航空,20,44.9,8.52,4.45,1.79,20.54,84.35,36.58,-1.64,25.24,27.506,10.0,252,23.01,8.32,-50.36,-104.52,-1.64,39.66,22.38,21.37,8.7,4.5,70.12,40.8296,9.97,1347366.94,62801.99,67368.35,62509.8,0.93,0.93,-1.97,正常,124571.67,75363.49,199935.17,9.25,5.59,0,2,2,0,-10225.01,27114.07,,,,,,,0.0,41.35,-1423,-51,0.1,47.91,未取得,0.0,47.91,0.0,0.0,0.0,0.0,0.0,6.46,47.91,2026-05,1.64,22.11,14.29,,,,營收 2026-05，月增 1.64%，年增 22.11%，累計年增 14.29%,外資買超；投信買超；融資下降；接近區間高點；逼近52週高點；RSI過熱；營收 2026-05，月增 1.64%，年增 22.11%，累計年增 14.29%,47.91
2026-06-30,2883,凱基金,TWSE,金融保險業,金控,20,28.7,16.12,3.48,1.44,22.65,47.9,62.08,-8.01,28.7,46.163,9.0,252,63.53,89.44,-9.84,-23.4,-8.01,95.9,20.41,54.83,8.82,5.0,33.5,28.0238,2.41,3294553.28,151075.31,164727.66,88356.93,0.92,0.54,-8.41,正常,-597982.74,797612.89,199630.14,-18.15,24.21,2,0,0,3,21210.13,-691.83,,,,,,,0.0,12.35,-215,-4,0.01,14.88,未取得,0.0,14.88,0.0,0.0,0.0,0.0,0.0,2.52,14.88,2026-05,-13.98,-172.68,277.79,,,,營收 2026-05，月增 -13.98%，年增 -172.68%，累計年增 277.79%,投信買超；融資下降；營收 2026-05，月增 -13.98%，年增 -172.68%，累計年增 277.79%,14.88
2026-06-30,5880,合庫金,TWSE,金融保險業,金控,20,24.85,17.75,4.23,1.38,7.81,67.86,22.09,-1.0,9.47,6.968,13.69,252,1.22,-0.6,-72.15,-113.44,-5.87,10.2,5.76,3.33,0.52,5.0,74.48,24.1222,3.02,577698.72,17504.22,28884.94,24044.02,0.61,0.83,-7.41,正常,157792.81,1728.76,159521.57,27.31,0.3,6,0,7,0,424.86,33.63,,,,,,,0.0,55.25,84,26,-0.01,58.98,未取得,0.0,58.98,0.0,0.0,0.0,0.0,0.0,3.74,58.98,2026-05,3.47,17.49,1.1,,,,營收 2026-05，月增 3.47%，年增 17.49%，累計年增 1.1%,外資買超；投信買超；融資增加；接近區間高點；營收 2026-05，月增 3.47%，年增 17.49%，累計年增 1.1%,58.98
2026-06-30,2884,玉山金,TWSE,金融保險業,金控,20,34.45,15.66,4.06,1.96,6.99,52.43,25.54,-5.87,9.71,22.485,4.19,251,1.47,4.39,-71.9,-108.45,-5.87,17.18,4.96,4.98,0.55,3.0,58.98,34.3984,0.15,1307312.9,68370.57,65365.65,60644.67,1.05,0.93,-0.6,正常,10004.96,134326.71,144331.68,0.77,10.28,0,9,10,0,-19768.57,22357.02,,,,,,,0.0,43.86,-2573,-4,0.2,51.54,未取得,0.0,51.54,0.0,0.0,0.0,0.0,0.0,7.48,51.54,2026-05,-7.84,24.76,24.75,,,,營收 2026-05，月增 -7.84%，年增 24.76%，累計年增 24.75%,外資買超；投信買超；融資下降；營收 2026-05，月增 -7.84%，年增 24.76%，累計年增 24.75%,51.54
