latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-15,2832,台產,TWSE,金融保險業,,20,57.2,11.0,6.12,1.19,4.95,57.32,25.7,-0.52,6.92,0.2,11.97,245,14.17,89.4,-43.38,-13.16,-0.52,92.92,5.58,24.8,7.82,8.0,2026-07-09,62.88,-0.03,,69.13,20.67,0.0,-0.24,2026Q1,,,,0,4.61,12.41,1.5,99.95,56.1636,1.85,7128.7,301.44,356.44,287.34,0.85,0.81,-4.95,正常,749.73,530.27,1280.0,10.52,7.44,1,0,0,0,148.96,0.0,國票-敦北法人,366.0,,,0,國票-敦北法人,1,國泰-忠孝,362.0,,-8.54,58.6,112,0,-1.26,73.38,已取得,49.86,123.24,22.5,6.16,6.0,1.2,14.0,16.04,73.38,2026-06,0.06,45.59,48.9,17.96,5.13,,外資與投信同買；前大買超分點約占成交 5.13%；收盤距區間均價 1.85%；連買：外1 / 投0；營收 2026-06，月增 0.06%，年增 45.59%，累計年增 48.9%,外資買超；投信買超；融資增加；接近區間高點；逼近52週高點；隔日沖分點買超；營收 2026-06，月增 0.06%，年增 45.59%，累計年增 48.9%,73.38
2026-07-15,8415,大國鋼,TPEX,鋼鐵工業,,20,36.6,11.06,4.1,1.3,3.83,65.0,21.61,-0.54,9.09,0.252,11.3,252,9.09,5.93,-48.46,-96.63,-0.54,11.08,5.12,6.92,7.31,6.5,2026-07-09,89.34,0.0,,92.59,4.28,-0.04,0.0,2026Q1,39.07,20.89,15.88,1,3.34,10.96,4.2,109.11,35.0119,4.54,14385.0,1092.0,719.25,882.6,1.52,1.23,12.85,放量,1205.78,677.0,1882.78,8.38,4.71,7,0,10,0,480.78,4.0,台灣摩根士丹利,1215.0,,35.32,7,台灣摩根士丹利,0,美好,1289.0,,19.66,61.5,-103,0,0.72,73.37,已取得,63.77,137.14,19.63,10.14,6.0,14.0,14.0,11.15,73.37,2026-06,12.88,36.57,18.86,13.09,8.45,,外資與投信同買；前大買超分點約占成交 8.45%；收盤距區間均價 4.54%；連買：外7 / 投10；營收 2026-06，月增 12.88%，年增 36.57%，累計年增 18.86%,外資買超；投信買超；融資下降；放量；接近區間高點；逼近52週高點；主力分點連7買；營收 2026-06，月增 12.88%，年增 36.57%，累計年增 18.86%,73.37
2026-07-15,6023,元大期,TPEX,金融保險業,,20,106.0,12.38,5.19,1.68,6.53,67.6,22.0,-2.75,7.4,0.543,7.92,252,10.07,27.86,-47.48,-74.7,-2.75,32.83,5.87,13.27,7.41,4.5,2026-07-09,84.31,-0.03,,86.49,10.44,0.09,-0.24,2026Q1,,-17.44,58.16,0,8.56,12.38,4.5,105.28,102.0321,3.89,10635.0,874.0,531.75,807.2,1.64,1.52,19.01,放量,921.98,514.0,1435.98,8.67,4.83,1,0,10,0,143.61,1.0,兆豐證券,897.0,,105.36,5,兆豐證券,0,元大-敦化,3247.0,,14.12,54.72,181,-1,-1.36,71.69,已取得,59.57,131.26,20.25,10.12,6.0,9.2,14.0,18.33,71.69,2026-06,12.45,86.15,37.74,13.5,8.43,,外資與投信同買；前大買超分點約占成交 8.43%；收盤距區間均價 3.89%；連買：外1 / 投10；營收 2026-06，月增 12.45%，年增 86.15%，累計年增 37.74%,外資買超；投信買超；融資增加；放量；主力分點連5買；營收 2026-06，月增 12.45%，年增 86.15%，累計年增 37.74%,71.69
2026-07-15,8021,尖點,TWSE,其他電子業,,20,532.0,152.44,0.37,14.34,2.7,43.77,75.41,-14.61,15.53,13.874,-1.38,252,146.87,957.65,89.32,855.09,-15.15,1100.9,11.93,124.36,17.2,-3.5,2026-07-09,37.85,0.68,,48.03,41.5,0.17,4.0,2026Q1,36.59,20.12,12.59,4,3.56,149.44,6.5,88.06,554.1574,-4.0,50073.5,983.68,2503.68,909.46,0.39,0.36,-12.0,量縮,5036.38,-165.0,4871.38,10.06,-0.33,6,0,2,0,206.0,13.0,摩根大通,3443.0,,546.7,8,摩根大通,0,美商高盛,1669.0,,20.58,44.96,-2575,-698,4.72,71.24,已取得,38.04,109.28,14.59,8.25,0.0,9.2,6.0,21.56,71.24,2026-06,9.69,90.11,66.6,9.73,6.88,,外資主導買超；前大買超分點約占成交 6.88%；收盤距區間均價 -4.0%；連買：外6 / 投2；營收 2026-06，月增 9.69%，年增 90.11%，累計年增 66.6%,外資買超；融資下降；波動偏高；主力分點連8買；毛利率連4升；千張大戶增持；營收 2026-06，月增 9.69%，年增 90.11%，累計年增 66.6%,71.24
2026-07-15,2887,台新新光金,TWSE,金融保險業,金控,20,36.15,17.72,3.04,1.59,11.92,78.26,28.24,-4.24,15.5,26.961,3.15,252,73.38,96.47,15.83,-6.1,-4.24,129.52,29.71,63.9,11.9,3.0,2026-07-09,70.68,0.23,,74.82,17.67,-0.12,2.34,2026Q1,,,43.96,0,2.4,15.06,4.5,93.52,33.8211,6.89,1594311.46,78283.27,79715.57,88223.03,0.98,1.11,1.49,正常,127483.39,77207.56,204690.95,8.0,4.84,0,3,5,0,-7175.27,8023.94,元大證券,52518.0,,33.71,8,元大證券,0,美商高盛,27661.0,,7.09,44.87,-5582,-4488,0.27,67.88,已取得,45.21,113.09,19.26,3.95,0.0,8.0,14.0,22.74,67.88,2026-06,19.49,198.41,117.55,12.84,3.29,,外資與投信同買；前大買超分點約占成交 3.29%；收盤距區間均價 6.89%；連買：外0 / 投5；營收 2026-06，月增 19.49%，年增 198.41%，累計年增 117.55%,外資買超；投信買超；融資下降；RSI過熱；主力分點連8買；營收 2026-06，月增 19.49%，年增 198.41%，累計年增 117.55%,67.88
2026-07-15,8487,愛爾達-創,TWSE,數位雲端,,20,76.1,13.59,6.32,2.73,-3.18,33.73,14.72,-5.58,0.93,0.032,-1.91,252,-4.76,-3.79,-62.3,-106.36,-12.33,2.56,-3.46,-4.07,-7.08,4.5,2026-07-09,45.91,0.0,,55.76,24.75,-0.41,0.0,2026Q1,33.56,22.51,,-1,5.6,13.59,0.3,64.25,77.9452,-2.37,833.92,41.63,41.7,50.53,1.0,1.21,3.37,正常,90.0,0.0,90.0,10.79,0.0,1,0,0,0,3.0,0.0,台灣摩根士丹利,61.0,,78.08,4,台灣摩根士丹利,0,群益金鼎-宜蘭,71.0,,17.72,36.63,-51,0,6.12,66.75,已取得,38.17,104.92,16.19,8.78,6.0,1.2,6.0,24,66.75,2026-06,221.43,175.77,59.32,10.79,7.31,,外資主導買超；前大買超分點約占成交 7.31%；收盤距區間均價 -2.37%；連買：外1 / 投0；營收 2026-06，月增 221.43%，年增 175.77%，累計年增 59.32%,外資買超；融資下降；年線之下；主力分點連4買；營收 2026-06，月增 221.43%，年增 175.77%，累計年增 59.32%,66.75
2026-07-15,6703,軒郁,TPEX,生技醫療業,,20,117.0,11.49,0.85,3.19,7.83,64.71,29.43,-2.9,9.35,0.078,8.7,252,12.5,-4.88,-45.05,-107.44,-18.18,17.59,4.08,3.68,1.65,3.0,2026-07-09,39.15,0.0,,51.56,41.29,0.74,0.0,2026Q1,63.05,9.78,8.24,2,10.1,11.58,3.9,83.15,113.9963,2.63,1365.0,79.0,68.25,59.2,1.16,0.87,-0.23,正常,195.26,87.15,282.41,14.3,6.38,3,0,0,0,22.0,0.0,元大-西屯,126.0,,109.79,0,元大-西屯,0,統一-松江,20.0,,10.34,59.96,-15,0,1.1,66.01,已取得,57.18,123.19,22.5,11.08,6.0,3.6,14.0,4.95,66.01,2026-06,2.73,13.63,13.56,20.69,9.23,,外資與投信同買；前大買超分點約占成交 9.23%；收盤距區間均價 2.63%；連買：外3 / 投0；營收 2026-06，月增 2.73%，年增 13.63%，累計年增 13.56%,外資買超；投信買超；融資下降；毛利率連2升；營收 2026-06，月增 2.73%，年增 13.63%，累計年增 13.56%,66.01
2026-07-15,1799,易威,TPEX,生技醫療業,,20,34.85,,0.0,6.04,13.52,78.15,29.95,-0.43,16.17,0.042,9.11,251,3.87,-26.79,-53.67,-129.35,-36.87,26.04,1.12,-8.37,-10.21,-1.5,2026-07-09,66.48,0.0,,68.13,22.01,-0.02,0.0,2026Q1,52.16,7.69,8.61,1,-0.42,,-0.8,69.32,32.3447,7.75,2598.0,211.0,129.9,153.8,1.62,1.18,13.44,放量,446.0,0.0,446.0,17.17,0.0,6,0,0,0,94.0,0.0,台灣摩根士丹利,113.0,,31.49,0,台灣摩根士丹利,0,元大-土城,157.0,,2.2,42.0,0,0,0.0,66.0,已取得,39.72,105.72,22.5,5.22,0.0,6.0,6.0,24,66.0,2026-06,42.94,67.01,77.66,17.17,4.35,,外資主導買超；前大買超分點約占成交 4.35%；收盤距區間均價 7.75%；連買：外6 / 投0；營收 2026-06，月增 42.94%，年增 67.01%，累計年增 77.66%,外資買超；放量；接近區間高點；年線之下；RSI過熱；營收 2026-06，月增 42.94%，年增 67.01%，累計年增 77.66%,66.0
2026-07-15,2637,慧洋-KY,TWSE,航運業,散裝航運,20,83.9,11.8,4.17,1.24,7.02,69.34,38.26,-4.66,18.5,2.875,8.21,252,17.67,46.68,-39.88,-55.89,-4.66,58.9,10.78,23.3,2.17,6.5,2026-07-09,76.9,0.9,,81.83,12.66,-0.74,4.5,2026Q1,28.68,27.6,27.55,-1,7.11,11.8,3.3,90.3,78.3623,7.07,73377.7,2000.48,3668.89,4913.49,0.55,1.34,-0.03,放量,14616.2,658.78,15274.98,19.92,0.9,1,0,5,0,278.44,61.0,台灣摩根士丹利,10362.0,,79.46,20,台灣摩根士丹利,0,摩根大通,3406.0,,18.62,48.74,-615,19,0.85,65.63,已取得,62.65,128.28,22.5,16.95,0.0,9.2,14.0,16.04,65.63,2026-06,3.34,57.92,32.58,20.82,14.12,,外資與投信同買；前大買超分點約占成交 14.12%；收盤距區間均價 7.07%；連買：外1 / 投5；營收 2026-06，月增 3.34%，年增 57.92%，累計年增 32.58%,外資買超；投信買超；融資下降；放量；主力分點連20買；千張大戶增持；營收 2026-06，月增 3.34%，年增 57.92%，累計年增 32.58%,65.63
2026-07-15,8499,鼎炫-KY,TWSE,其他電子業,,20,302.0,30.26,2.65,1.45,0.67,48.87,60.57,-9.58,9.03,0.272,0.4,252,-7.08,6.9,-64.62,-95.66,-26.34,77.13,3.21,4.72,-0.31,2.0,2026-07-09,72.65,0.0,,79.8,14.91,-0.19,0.0,2026Q1,44.52,18.33,11.83,-1,9.98,30.26,1.8,70.74,307.3756,-1.75,1768.08,122.55,88.4,65.46,1.39,0.74,3.48,正常,240.78,5.0,245.78,13.62,0.28,1,0,0,0,50.0,0.0,美商高盛,231.0,,309.98,0,美商高盛,0,群益金鼎-東大,45.0,,24.41,39.83,-72,0,4.07,65.11,已取得,57.73,122.84,20.85,15.68,6.0,1.2,14.0,21.21,65.11,2026-06,6.74,116.29,87.0,13.9,13.07,,外資與投信同買；前大買超分點約占成交 13.07%；收盤距區間均價 -1.75%；連買：外1 / 投0；營收 2026-06，月增 6.74%，年增 116.29%，累計年增 87.0%,外資買超；投信買超；融資下降；營收 2026-06，月增 6.74%，年增 116.29%，累計年增 87.0%,65.11
