latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,fundamental_score,multifactor_score,5d_avg_price,close_vs_avg_pct,5d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,5d_foreign_net_lot,5d_trust_net_lot,5d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-08,2890,永豐金,TWSE,金融保險業,金控,5,41.9,20.05,,,6.08,,,-0.24,7.02,16.157,8.65,252,45.49,66.6,-15.71,-34.76,-0.24,80.99,24.76,43.85,12.66,0.0,2026-07-03,77.59,0.1,,80.81,14.27,-0.06,1.3,2026Q1,,,41.88,0,2.16,19.4,4.5,123.75,40.6046,3.19,198952.58,31400.45,39790.52,39790.52,0.79,1.0,-2.53,正常,20483.17,32054.01,52537.18,10.3,16.11,4,0,5,0,14113.96,661.54,,,,,,,0,,,,0.0,77.5,-60,-11,0.03,97.9,未取得,0.0,97.9,0.0,0.0,0.0,0.0,0.0,20.37,97.9,2026-05,4.89,82.69,56.17,,,,營收 2026-05，月增 4.89%，年增 82.69%，累計年增 56.17%,外資買超；投信買超；融資下降；接近區間高點；逼近52週高點；營收 2026-05，月增 4.89%，年增 82.69%，累計年增 56.17%,97.9
2026-07-08,2542,興富發,TWSE,建材營造業,,5,43.5,13.38,,,0.93,,,-3.33,3.33,3.392,0.56,252,11.68,4.57,-49.51,-96.79,-8.23,29.08,4.46,8.83,1.57,1.5,2026-07-03,58.56,-0.5,,62.27,29.79,0.4,-4.0,2026Q1,30.11,24.17,14.95,-1,3.25,13.38,1.8,93.86,43.9095,-0.93,38625.29,4039.68,7725.06,7725.06,0.52,1.0,-5.72,正常,11020.33,3892.0,14912.33,28.53,10.08,0,1,5,0,-1112.0,329.0,,,,,,,0,,,,0.0,73.5,-1695,72,4.39,95.29,未取得,0.0,95.29,0.0,0.0,0.0,0.0,0.0,17.4,95.29,2026-05,-34.17,2114.21,1780.74,,,,營收 2026-05，月增 -34.17%，年增 2114.21%，累計年增 1780.74%,外資買超；投信買超；融資下降；千張大戶減持；營收 2026-05，月增 -34.17%，年增 2114.21%，累計年增 1780.74%,95.29
2026-07-08,2206,三陽工業,TWSE,汽車工業,,5,64.0,11.29,,,3.23,,,-1.08,5.61,0.771,6.94,252,6.67,0.79,-54.53,-100.57,-4.48,17.86,6.81,4.85,1.07,3.0,2026-07-03,80.57,0.37,,84.2,11.8,-0.06,3.46,2026Q1,21.2,9.42,7.1,1,5.61,11.41,2.7,108.31,63.4503,0.87,6076.39,1080.78,1215.28,1215.28,0.89,1.0,-1.33,正常,2698.74,655.0,3353.74,44.41,10.78,5,0,5,0,168.1,296.0,,,,,,,0,,,,0.0,85.5,-526,3,8.03,91.81,未取得,0.0,91.81,0.0,0.0,0.0,0.0,0.0,-1.72,91.81,2026-05,-0.24,-6.23,-3.55,,,,營收 2026-05，月增 -0.24%，年增 -6.23%，累計年增 -3.55%,外資買超；投信買超；融資下降；接近區間高點；千張大戶增持；營收 2026-05，月增 -0.24%，年增 -6.23%，累計年增 -3.55%,91.81
2026-07-08,2897,王道銀行,TWSE,金融保險業,,5,10.6,15.59,,,0.95,,,-0.47,1.92,0.404,5.57,252,16.23,15.97,-44.97,-85.38,-0.93,20.18,3.35,11.56,8.02,1.5,2026-07-03,81.3,0.09,,85.53,9.3,0.05,0.72,2026Q1,,,,0,0.7,15.14,1.5,102.44,10.5666,0.32,19096.82,2638.7,3819.36,3819.36,0.69,1.0,-3.71,正常,5210.18,1080.0,6290.18,27.28,5.66,5,0,5,0,438.0,106.0,,,,,,,0,,,,0.0,74.64,85,-1,-0.36,86.99,未取得,0.0,86.99,0.0,0.0,0.0,0.0,0.0,12.71,86.99,2026-05,-0.09,39.86,34.69,,,,營收 2026-05，月增 -0.09%，年增 39.86%，累計年增 34.69%,外資買超；投信買超；融資增加；接近區間高點；逼近52週高點；營收 2026-05，月增 -0.09%，年增 39.86%，累計年增 34.69%,86.99
2026-07-08,2851,中再保,TWSE,金融保險業,,5,38.35,7.4,,,2.54,,,-2.42,7.27,0.865,1.52,252,44.72,69.69,-16.48,-31.67,-5.89,74.72,10.81,36.83,6.49,3.0,2026-07-03,66.45,-0.72,,70.93,21.27,0.14,-4.0,2026Q1,,,,0,5.18,7.4,1.5,93.34,38.1465,0.53,11336.77,1653.84,2267.35,2267.35,0.73,1.0,-3.25,正常,1701.97,755.0,2456.97,15.01,6.66,1,0,5,0,58.25,100.0,,,,,,,0,,,,0.0,69.15,-162,0,1.43,86.46,未取得,0.0,86.46,0.0,0.0,0.0,0.0,0.0,15.88,86.46,2026-05,-16.23,170.22,43.9,,,,營收 2026-05，月增 -16.23%，年增 170.22%，累計年增 43.9%,外資買超；投信買超；融資下降；千張大戶減持；營收 2026-05，月增 -16.23%，年增 170.22%，累計年增 43.9%,86.46
2026-07-08,2892,第一金,TWSE,金融保險業,金控,5,34.1,17.49,,,6.23,,,0.0,6.56,11.767,8.74,252,14.24,14.43,-46.96,-86.93,0.0,25.37,14.2,16.56,7.82,1.5,2026-07-03,67.17,0.11,,71.09,20.46,-0.07,1.38,2026Q1,,,42.72,0,1.93,17.67,4.5,106.45,32.9594,3.46,178506.18,32599.33,35701.24,35701.24,0.91,1.0,-1.04,正常,16039.16,39282.43,55321.59,8.99,22.01,4,0,5,0,21282.53,124.38,,,,,,,0,,,,0.0,75.47,-884,-281,0.45,83.03,未取得,0.0,83.03,0.0,0.0,0.0,0.0,0.0,7.11,83.03,2026-05,-0.23,26.92,14.33,,,,營收 2026-05，月增 -0.23%，年增 26.92%，累計年增 14.33%,外資買超；投信買超；融資下降；接近區間高點；逼近52週高點；營收 2026-05，月增 -0.23%，年增 26.92%，累計年增 14.33%,83.03
2026-07-08,2885,元大金,TWSE,金融保險業,金控,5,71.5,22.0,,,8.66,,,-0.56,10.0,16.462,10.2,252,81.93,120.68,20.74,19.32,-0.56,132.14,20.9,65.62,18.49,0.0,2026-07-03,80.43,-0.07,,82.97,13.25,0.06,-0.56,2026Q1,,,36.04,0,3.23,22.14,4.5,115.94,68.8199,3.89,119601.06,27763.77,23920.21,23920.21,1.16,1.0,1.93,正常,10496.04,9027.82,19523.86,8.78,7.55,0,1,5,0,-3829.98,1245.88,,,,,,,0,,,,0.0,58.92,-293,0,0.24,82.35,未取得,0.0,82.35,0.0,0.0,0.0,0.0,0.0,23.19,82.35,2026-05,23.23,227.32,80.97,,,,營收 2026-05，月增 23.23%，年增 227.32%，累計年增 80.97%,外資買超；投信買超；融資下降；接近區間高點；逼近52週高點；營收 2026-05，月增 23.23%，年增 227.32%，累計年增 80.97%,82.35
2026-07-08,6023,元大期,TPEX,金融保險業,,5,106.5,12.44,5.16,1.68,5.45,,,0.0,6.71,0.368,8.27,252,10.94,27.7,-50.26,-73.66,0.0,34.3,6.81,14.27,7.49,4.5,2026-07-03,84.34,-0.04,,86.34,10.35,0.1,-0.32,2026Q1,,-17.44,58.16,0,8.56,12.44,4.5,103.79,102.1713,4.24,1801.0,370.0,360.2,360.2,1.03,1.0,0.33,正常,167.62,113.0,280.62,9.31,6.27,1,0,5,0,24.5,11.0,,,,,,,0,,,,0.0,60.8,31,0,-1.38,79.18,未取得,0.0,79.18,0.0,0.0,0.0,0.0,0.0,19.76,79.18,2026-05,35.73,80.38,29.22,,,,營收 2026-05，月增 35.73%，年增 80.38%，累計年增 29.22%,外資買超；投信買超；融資增加；接近區間高點；逼近52週高點；營收 2026-05，月增 35.73%，年增 80.38%，累計年增 29.22%,79.18
2026-07-08,7722,LINEPAY,TWSE,數位雲端,,5,332.0,47.09,,,5.4,,,-0.3,6.24,0.523,8.24,252,-39.08,-51.67,-100.28,-153.03,-58.24,32.27,12.44,-31.02,-12.0,-2.0,2026-07-03,83.93,0.0,,84.95,13.98,-0.07,0.0,2026Q1,23.2,5.19,6.4,-4,7.04,47.16,-2.0,77.2,322.6419,2.9,810.11,293.7,162.02,162.02,1.81,1.0,12.75,放量,53.98,71.0,124.98,6.66,8.76,4,0,4,0,12.61,1.0,,,,,,,0,,,,0.0,71.24,-1,1,0.2,78.59,未取得,0.0,78.59,0.0,0.0,0.0,0.0,0.0,7.15,78.59,2026-05,13.69,17.19,15.07,,,,營收 2026-05，月增 13.69%，年增 17.19%，累計年增 15.07%,外資買超；投信買超；融資下降；放量；接近區間高點；年線之下；毛利率連4降；營收 2026-05，月增 13.69%，年增 17.19%，累計年增 15.07%,78.59
2026-07-08,2207,和泰車,TWSE,汽車工業,,5,480.5,14.07,,,3.44,,,-0.31,4.23,1.576,7.06,251,-12.48,-14.2,-73.67,-115.55,-24.09,5.6,0.15,-10.64,-7.85,1.5,2026-07-03,82.63,-0.18,,89.26,5.25,0.13,-1.44,2026Q1,,,6.21,0,34.15,14.07,1.5,75.48,473.5231,1.47,1663.68,364.35,332.74,332.74,1.1,1.0,1.14,正常,240.59,125.07,365.66,14.46,7.52,4,0,2,0,66.74,72.0,,,,,,,0,,,,0.0,69.79,-18,0,1.08,74.14,未取得,0.0,74.14,0.0,0.0,0.0,0.0,0.0,3.27,74.14,2026-05,-7.78,15.72,8.58,,,,營收 2026-05，月增 -7.78%，年增 15.72%，累計年增 8.58%,外資買超；投信買超；融資下降；接近區間高點；年線之下；營收 2026-05，月增 -7.78%，年增 15.72%，累計年增 8.58%,74.14
