latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-08-20,2890,永豐金,TWSE,金融保險業,金控,20,39.35,18.83,3.3,2.15,2.08,37.62,27.55,-4.14,4.38,11.218,1.25,252,20.15,65.34,-6.73,-23.74,-6.97,69.98,4.01,27.44,5.21,1.5,2026-08-14,77.7,0.01,0.13,80.92,14.14,-0.02,0.97,2026Q1,,,41.88,0,2.16,18.22,86.5,15.79,19.3,0.76,33.3,,12.0,11.0,1.0,0.0,0,1,單季 EPS 年增 33%、月營收年增 51%、PE 18.8（一年 86% 分位）、距 52 週高點 -7%,4.5,102.52,39.4462,-0.24,568749.61,14323.55,28437.48,30999.5,0.5,1.09,-4.51,正常,43709.34,61162.44,104871.78,7.69,10.75,1,0,8,0,312.17,331.0,港商麥格理,54791.0,,39.44,0,港商麥格理,0,第一金-高雄,24603.0,,19.4,72.87,-909,81,0.16,91.34,已取得,71.26,162.6,22.5,11.56,14.0,9.2,14.0,18.31,91.34,2026-07,2.8,51.3,54.62,18.44,9.63,-0.23,外資與投信同買；前大買超分點約占成交 9.63%；收盤距區間均價 -0.24%；收盤距分點均價 -0.23%；連買：外1 / 投8；營收 2026-07，月增 2.8%，年增 51.3%，累計年增 54.62%,外資買超；投信買超；融資下降；營收 2026-07，月增 2.8%，年增 51.3%，累計年增 54.62%,91.34
2026-08-20,2542,興富發,TWSE,建材營造業,,20,48.3,11.18,8.28,2.06,9.28,91.35,19.91,-0.62,13.65,3.681,6.57,252,28.46,15.0,1.57,-74.08,-0.62,43.32,9.66,19.84,13.03,6.0,2026-08-14,61.56,0.68,2.13,65.14,27.65,-0.53,6.0,2026Q2,31.85,25.33,16.11,1,4.31,11.21,2.4,14.46,-22.7,1.3,441.7,18.11,22.5,15.5,12.0,-5.0,1,1,⚠ 循環高峰疑慮（獲利在多年高點、年增來自低基期，低 PE 可能反映市場預期獲利反轉）：單季 EPS 年增 442%、毛利率連 1 季升、月營收年增 197%、PE 11.2（一年 2% 分位）、距 52 週高點 -1%,4.2,129.04,45.4309,6.32,162056.13,10318.28,8102.81,12206.55,1.27,1.51,14.38,放量,23713.59,8422.65,32136.24,14.63,5.2,4,0,13,0,2970.47,1.0,國泰證券,8299.0,,44.53,0,國泰證券,0,摩根大通,3143.0,,5.18,65.49,-1672,-264,0.98,86.05,已取得,55.45,141.5,22.5,6.15,0.0,12.8,14.0,19.58,86.05,2026-07,-6.82,196.59,404.28,19.83,5.12,8.47,外資與投信同買；前大買超分點約占成交 5.12%；收盤距區間均價 6.32%；收盤距分點均價 8.47%；連買：外4 / 投13；營收 2026-07，月增 -6.82%，年增 196.59%，累計年增 404.28%,外資買超；投信買超；融資下降；放量；接近區間高點；逼近52週高點；RSI過熱；千張大戶增持；營收 2026-07，月增 -6.82%，年增 196.59%，累計年增 404.28%,86.05
2026-08-20,2347,聯強,TWSE,電子通路業,,20,87.0,11.9,4.83,1.68,-1.81,33.82,44.0,-11.5,4.32,3.964,-1.09,252,22.88,51.3,-4.0,-37.78,-11.5,59.34,-3.12,19.14,5.81,4.5,2026-08-14,85.63,-0.06,0.25,89.14,7.92,0.16,0.27,2026Q2,3.4,2.38,1.94,-1,7.32,11.89,25.8,12.78,-6.9,2.35,201.3,0.92,19.0,13.0,6.0,0.0,0,0,單季 EPS 年增 201%、毛利率連 1 季降、月營收年增 129%、PE 11.9（一年 26% 分位）、距 52 週高點 -12%,0.3,87.82,90.8616,-4.25,87260.23,4537.02,4363.01,3677.68,1.04,0.84,-2.03,正常,8527.05,5040.91,13567.97,9.77,5.78,0,1,11,0,-179.08,346.0,台灣摩根士丹利,9283.0,,92.25,0,台灣摩根士丹利,0,港商麥格理,6255.0,,13.18,59.49,216,6,-0.2,79.05,已取得,57.27,136.32,22.5,12.77,0.0,8.0,14.0,19.76,79.05,2026-07,-5.34,128.78,85.37,15.55,10.64,-5.69,外資與投信同買；前大買超分點約占成交 10.64%；收盤距區間均價 -4.25%；收盤距分點均價 -5.69%；連買：外0 / 投11；營收 2026-07，月增 -5.34%，年增 128.78%，累計年增 85.37%,外資買超；投信買超；融資增加；營收 2026-07，月增 -5.34%，年增 128.78%，累計年增 85.37%,79.05
2026-08-20,3466,德晉,TPEX,通信網路業,,20,24.45,,0.0,1.35,-16.84,46.23,38.78,-18.23,2.52,0.051,-9.0,252,-31.03,-36.25,-57.91,-125.32,-52.98,2.52,-18.17,-35.55,-12.0,2.0,2026-08-14,34.0,-0.01,-0.1,46.1,40.49,0.15,-0.38,2026Q2,10.04,-41.59,-25.36,2,-0.83,,,,,-0.28,-264.7,-183.12,0.0,0.0,0.0,0.0,,0,近四季 EPS 未轉正或缺財報,-2.6,43.53,25.7055,-4.88,3975.0,99.0,198.75,95.8,0.5,0.48,-12.0,量縮,565.2,0.0,565.2,14.22,0.0,7,0,0,0,11.0,0.0,新加坡商瑞銀,142.0,,25.09,0,新加坡商瑞銀,0,統一-城中,282.0,,10.74,44.38,-389,-17,7.87,71.51,已取得,45.62,117.13,21.33,4.29,8.0,6.0,6.0,19.26,71.51,2026-07,73.14,27.02,884.13,14.22,3.57,-2.55,外資主導買超；前大買超分點約占成交 3.57%；收盤距區間均價 -4.88%；收盤距分點均價 -2.55%；連買：外7 / 投0；營收 2026-07，月增 73.14%，年增 27.02%，累計年增 884.13%,外資買超；融資下降；年線之下；毛利率連2升；營收 2026-07，月增 73.14%，年增 27.02%，累計年增 884.13%,71.51
2026-08-20,9946,三發地產,TWSE,建材營造業,,20,19.05,4.09,7.24,0.86,6.13,72.73,19.29,-1.3,8.86,0.051,12.68,252,14.41,-3.3,-12.47,-92.38,-12.81,22.9,3.22,6.65,3.94,8.0,2026-08-14,78.51,0.0,0.0,81.4,12.72,-0.13,0.0,2026Q2,51.56,35.33,24.42,-1,4.63,4.11,9.1,54.38,-92.5,0.28,,109.98,0.0,0.0,0.0,0.0,,1,日均量 276 張偏低（門檻 500）,3.3,99.62,18.3943,3.56,5512.84,299.19,275.64,307.47,1.09,1.12,2.87,正常,786.38,19.0,805.38,14.26,0.34,10,0,0,0,67.0,0.0,凱基-台北,252.0,,18.34,0,凱基-台北,1,玉山-左營,192.0,,2.26,42.55,-205,0,3.72,70.27,已取得,61.4,131.67,21.91,5.49,14.0,6.0,14.0,24,70.27,2026-07,1371.9,1180.83,3975.11,14.61,4.57,3.87,外資與投信同買；前大買超分點約占成交 4.57%；收盤距區間均價 3.56%；收盤距分點均價 3.87%；連買：外10 / 投0；營收 2026-07，月增 1371.9%，年增 1180.83%，累計年增 3975.11%,外資買超；投信買超；融資下降；接近區間高點；隔日沖分點買超；營收 2026-07，月增 1371.9%，年增 1180.83%，累計年增 3975.11%,70.27
2026-08-20,2543,皇昌,TWSE,建材營造業,,20,38.95,13.48,3.93,2.14,0.91,59.7,42.43,-6.71,9.87,0.479,4.55,252,-36.56,-52.62,-63.45,-141.7,-56.33,9.87,-4.8,-32.6,-12.0,3.0,2026-08-14,67.34,0.04,0.52,71.9,22.42,-0.09,2.32,2026Q2,17.81,14.29,10.57,1,2.6,14.98,1.6,19.31,-30.2,0.97,31.1,-2.13,25.5,9.5,16.0,0.0,0,0,單季 EPS 年增 31%、毛利率連 1 季升、月營收年增 94%、PE 13.5（一年 2% 分位）、距 52 週高點 -56%,4.2,66.02,38.4404,1.33,24936.97,1011.63,1246.85,774.83,0.81,0.62,-8.32,正常,2575.2,8.51,2583.7,10.33,0.03,4,0,0,0,511.28,0.0,美林,1246.0,,38.12,0,美林,0,元大-汐止,469.0,,15.06,42.37,-1622,-16,6.49,68.11,已取得,54.34,122.45,15.54,6.0,14.0,4.8,14.0,19.25,68.11,2026-07,-9.6,93.82,60.82,10.36,5.0,2.18,外資與投信同買；前大買超分點約占成交 5.0%；收盤距區間均價 1.33%；收盤距分點均價 2.18%；連買：外4 / 投0；營收 2026-07，月增 -9.6%，年增 93.82%，累計年增 60.82%,外資買超；投信買超；融資下降；年線之下；營收 2026-07，月增 -9.6%，年增 93.82%，累計年增 60.82%,68.11
2026-08-20,3310,佳穎,TPEX,電子零組件業,,20,68.1,26.19,5.14,2.83,1.19,55.65,22.65,-6.97,7.24,0.011,4.71,251,-7.09,4.93,-33.98,-84.15,-23.31,12.19,-0.02,-2.88,-7.31,3.0,2026-08-14,70.0,0.07,0.14,82.26,9.03,-0.02,1.48,2026Q2,23.13,11.51,13.34,3,2.55,26.71,66.9,22.68,15.5,1.25,1685.7,0.89,0.0,0.0,0.0,0.0,,0,日均量 17 張偏低（門檻 500）,6.5,79.78,68.4358,-0.49,332.0,25.0,16.6,14.4,1.51,0.87,6.95,放量,58.0,0.0,58.0,17.47,0.0,3,0,0,0,6.0,0.0,合庫證券,39.0,,67.52,0,合庫證券,0,京城,37.0,,18.52,44.0,-87,0,8.0,67.93,已取得,60.2,128.13,22.5,14.1,14.0,3.6,6.0,15.93,67.93,2026-07,154.38,538.64,2.06,17.47,11.75,0.86,外資主導買超；前大買超分點約占成交 11.75%；收盤距區間均價 -0.49%；收盤距分點均價 0.86%；連買：外3 / 投0；營收 2026-07，月增 154.38%，年增 538.64%，累計年增 2.06%,外資買超；融資下降；放量；年線之下；毛利率連3升；營收 2026-07，月增 154.38%，年增 538.64%，累計年增 2.06%,67.93
2026-08-20,8040,九暘,TPEX,半導體業,,20,69.7,871.25,0.0,2.71,-4.52,57.81,61.15,-9.24,15.21,0.354,1.29,252,44.01,21.43,17.12,-67.65,-46.59,56.1,-21.54,8.57,6.46,-2.0,2026-08-14,44.6,0.0,0.0,51.65,38.31,-0.3,0.0,2026Q2,44.67,7.07,,3,0.09,774.44,,,,0.25,,20.48,14.0,12.0,2.0,0.0,0,0,毛利率連 3 季升、月營收年增 43%、PE 871.2、距 52 週高點 -47%,5.0,72.21,69.4418,0.37,10195.0,245.0,509.75,312.0,0.48,0.61,-12.0,量縮,1238.48,0.0,1238.48,12.15,0.0,9,0,0,0,7.23,0.0,台灣摩根士丹利,572.0,,68.27,0,台灣摩根士丹利,0,玉山-士林,108.0,,16.2,45.72,-811,-18,7.9,67.46,已取得,50.95,118.41,18.22,6.73,14.0,6.0,6.0,13.84,67.46,2026-07,8.8,42.53,32.03,12.15,5.61,2.09,外資主導買超；前大買超分點約占成交 5.61%；收盤距區間均價 0.37%；收盤距分點均價 2.09%；連買：外9 / 投0；營收 2026-07，月增 8.8%，年增 42.53%，累計年增 32.03%,外資買超；融資下降；毛利率連3升；營收 2026-07，月增 8.8%，年增 42.53%，累計年增 32.03%,67.46
2026-08-20,9906,欣巴巴,TWSE,建材營造業,,20,39.25,11.44,0.2,2.34,-3.44,46.67,32.96,-6.44,3.56,0.023,-2.06,252,-4.62,-43.44,-31.5,-132.52,-49.29,27.44,-3.47,-15.24,-11.06,3.0,2026-08-14,75.01,-0.02,0.06,78.8,17.51,-0.49,0.02,2026Q2,38.31,15.97,9.34,1,3.43,11.44,9.9,16.05,-28.7,0.33,,38.75,0.0,0.0,0.0,0.0,,0,日均量 57 張偏低（門檻 500）,2.7,57.92,39.5624,-0.79,1137.6,54.29,56.88,44.43,0.95,0.78,-4.05,正常,260.13,0.0,260.13,22.87,0.0,4,0,0,0,30.0,0.0,美商高盛,113.0,,39.89,0,美商高盛,0,國泰-敦南,38.0,,20.25,46.0,-17,-4,1.39,67.35,已取得,59.22,126.57,22.5,11.92,14.0,4.8,6.0,19.96,67.35,2026-07,18.97,44.89,348.63,22.87,9.93,-1.6,外資主導買超；前大買超分點約占成交 9.93%；收盤距區間均價 -0.79%；收盤距分點均價 -1.6%；連買：外4 / 投0；營收 2026-07，月增 18.97%，年增 44.89%，累計年增 348.63%,外資買超；融資下降；年線之下；營收 2026-07，月增 18.97%，年增 44.89%，累計年增 348.63%,67.35
2026-08-20,6423,億而得,TPEX,半導體業,,20,79.3,111.69,1.26,4.63,13.45,66.96,54.44,-5.26,26.88,0.05,12.07,252,-3.53,-3.29,-30.41,-92.37,-41.69,26.88,-0.9,-6.03,-10.95,-2.0,2026-08-14,22.53,0.1,0.58,41.36,41.6,-0.78,2.8,2026Q2,98.16,15.73,,-1,0.74,107.16,38.5,122.86,-9.1,0.21,,24.45,0.0,0.0,0.0,0.0,,0,日均量 68 張偏低（門檻 500）,0.3,63.01,74.5011,6.44,1354.0,12.0,67.7,36.0,0.18,0.53,-12.0,量縮,228.51,0.0,228.51,16.88,0.0,10,0,0,0,5.0,0.0,富邦-青埔,114.0,,,,,0,國泰-松江,85.0,,6.96,42.0,-132,-2,7.96,66.79,已取得,44.6,111.39,22.5,10.1,0.0,6.0,6.0,16.83,66.79,2026-07,1551.72,47.94,21.28,16.88,8.42,,外資主導買超；前大買超分點約占成交 8.42%；收盤距區間均價 6.44%；連買：外10 / 投0；營收 2026-07，月增 1551.72%，年增 47.94%，累計年增 21.28%,外資買超；融資下降；年線之下；營收 2026-07，月增 1551.72%，年增 47.94%，累計年增 21.28%,66.79
