latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-09,2887,台新新光金,TWSE,金融保險業,金控,20,36.85,18.06,2.99,1.62,28.17,81.43,30.99,-0.81,31.61,27.709,10.0,252,76.32,98.12,17.49,-3.03,-0.81,133.97,34.92,68.75,18.1,0.0,2026-07-03,70.45,0.24,,74.62,17.79,-0.15,2.42,2026Q1,,,43.96,0,2.4,15.35,4.5,114.95,32.8028,12.34,1689434.26,111661.12,84471.71,83432.62,1.32,0.99,6.67,正常,243931.47,97882.89,341814.36,14.44,5.79,5,0,2,0,6126.57,13124.35,國泰證券,44028.0,,33.32,2,國泰證券,0,統一-南京,12677.0,,4.35,57.48,-7489,-3628,0.38,76.6,已取得,43.83,120.43,22.5,3.13,-5.0,9.2,14.0,18.74,76.6,2026-05,-13.81,117.88,105.23,20.23,2.61,,外資與投信同買；前大買超分點約占成交 2.61%；收盤距區間均價 12.34%；連買：外5 / 投2；營收 2026-05，月增 -13.81%，年增 117.88%，累計年增 105.23%,外資買超；投信買超；融資下降；接近區間高點；逼近52週高點；RSI過熱；營收 2026-05，月增 -13.81%，年增 117.88%，累計年增 105.23%,76.6
2026-07-09,3596,智易,TWSE,通信網路業,,20,194.0,15.34,4.64,2.72,7.18,51.91,48.53,-4.2,9.3,4.541,4.31,252,8.99,2.65,-49.84,-98.51,-22.71,27.63,6.3,-0.39,-5.7,3.0,2026-07-03,61.44,0.36,,73.81,17.12,-0.16,3.38,2026Q1,15.16,6.43,5.38,-2,12.64,15.35,-0.9,73.4,190.1599,2.02,47755.45,1063.3,2387.77,1556.21,0.45,0.65,-12.0,量縮,2110.53,5553.93,7664.46,4.42,11.63,5,0,17,0,62.0,5.0,元大證券,1760.0,,191.49,5,元大證券,0,統一,1560.0,,16.79,74.34,161,7,-0.26,75.31,已取得,60.92,136.23,22.5,4.42,6.0,14.0,14.0,1.23,75.31,2026-05,1.92,4.23,1.48,16.05,3.69,,外資與投信同買；前大買超分點約占成交 3.69%；收盤距區間均價 2.02%；連買：外5 / 投17；營收 2026-05，月增 1.92%，年增 4.23%，累計年增 1.48%,外資買超；投信買超；融資增加；年線之下；主力分點連5買；毛利率連2降；千張大戶增持；營收 2026-05，月增 1.92%，年增 4.23%，累計年增 1.48%,75.31
2026-07-09,8446,華研,TPEX,文化創意業,,20,85.5,9.76,9.36,2.38,-3.17,37.5,15.41,-4.68,0.71,0.064,-1.9,252,-11.31,-10.0,-70.13,-111.15,-18.57,4.27,-1.26,-9.4,-7.73,6.0,2026-07-03,42.69,0.01,,50.02,43.39,-0.01,0.58,2026Q1,72.59,44.43,43.3,1,8.75,9.77,5.7,85.74,87.527,-2.32,1473.0,284.0,73.65,96.8,3.86,1.31,26.03,強放量,227.95,0.0,227.95,15.48,0.0,16,0,0,0,35.78,0.0,玉山-新莊,122.0,,87.97,0,玉山-新莊,0,(牛牛牛)亞-鑫豐,229.0,,12.17,48.0,-38,0,2.58,70.08,已取得,50.44,120.52,22.5,9.94,6.0,6.0,6.0,19.5,70.08,2026-05,84.32,120.24,24.35,15.48,8.28,,外資主導買超；前大買超分點約占成交 8.28%；收盤距區間均價 -2.32%；連買：外16 / 投0；營收 2026-05，月增 84.32%，年增 120.24%，累計年增 24.35%,外資買超；融資下降；強放量；年線之下；營收 2026-05，月增 84.32%，年增 120.24%，累計年增 24.35%,70.08
2026-07-09,2890,永豐金,TWSE,金融保險業,金控,20,40.45,19.35,3.21,2.21,21.65,54.89,42.61,-4.37,24.46,23.316,9.0,252,39.48,58.94,-19.34,-42.21,-4.37,74.73,20.01,38.57,5.63,1.5,2026-07-03,77.59,0.1,,80.81,14.27,-0.06,1.3,2026Q1,,,41.88,0,2.16,18.73,4.5,84.45,38.7486,4.39,1203462.9,26714.32,60173.15,33000.93,0.44,0.55,-12.0,量縮,2687.82,283548.87,286236.68,0.22,23.56,0,1,16,0,-4675.01,388.35,花旗環球,99836.0,,37.73,20,花旗環球,0,凱基-台北,64309.0,,11.28,47.95,-2140,368,0.2,68.52,已取得,60.45,128.97,22.5,9.95,6.0,8.0,14.0,20.37,68.52,2026-05,4.89,82.69,56.17,23.78,8.3,,外資與投信同買；前大買超分點約占成交 8.3%；收盤距區間均價 4.39%；連買：外0 / 投16；營收 2026-05，月增 4.89%，年增 82.69%，累計年增 56.17%,外資買超；投信買超；融資下降；主力分點連20買；營收 2026-05，月增 4.89%，年增 82.69%，累計年增 56.17%,68.52
2026-07-09,6023,元大期,TPEX,金融保險業,,20,108.0,12.62,5.09,1.71,9.09,85.71,15.59,-0.92,10.2,0.408,6.45,252,12.62,29.81,-46.21,-71.34,-0.92,36.02,8.15,15.75,7.66,4.5,2026-07-03,84.34,-0.04,,86.34,10.35,0.1,-0.32,2026Q1,,-17.44,58.16,0,8.56,12.62,4.5,95.59,100.8708,7.07,8088.0,639.0,404.4,389.6,1.58,0.96,9.38,放量,956.83,246.0,1202.83,11.83,3.04,0,1,7,0,-175.59,6.0,台灣摩根士丹利,399.0,,100.45,20,台灣摩根士丹利,0,元大-敦化,2602.0,,-0.08,50.0,167,0,-1.65,68.11,已取得,50.23,118.34,22.31,5.92,0.0,8.0,14.0,19.76,68.11,2026-05,35.73,80.38,29.22,14.87,4.93,,外資與投信同買；前大買超分點約占成交 4.93%；收盤距區間均價 7.07%；連買：外0 / 投7；營收 2026-05，月增 35.73%，年增 80.38%，累計年增 29.22%,外資買超；投信買超；融資增加；放量；接近區間高點；逼近52週高點；RSI過熱；主力分點連20買；營收 2026-05，月增 35.73%，年增 80.38%，累計年增 29.22%,68.11
2026-07-09,2547,日勝生,TWSE,建材營造業,,20,11.45,81.79,6.99,0.83,4.09,57.14,22.2,-2.97,6.02,0.499,6.45,252,8.02,-6.91,-50.81,-108.06,-9.84,16.72,8.14,5.38,1.2,3.0,2026-07-03,63.31,0.48,,70.02,20.01,-0.28,4.34,2026Q1,50.58,21.82,3.7,1,0.02,572.5,2.7,86.15,11.1935,2.29,89191.34,3526.01,4459.57,5364.65,0.79,1.2,0.74,正常,10987.37,3426.48,14413.85,12.32,3.84,1,0,0,1,1048.99,-25.78,台灣摩根士丹利,6315.0,,11.3,2,台灣摩根士丹利,0,第一金-忠孝,1883.0,,19.04,47.1,-1645,-50,1.83,68.09,已取得,52.2,120.29,22.5,8.5,6.0,1.2,14.0,19.16,68.09,2026-05,112.93,69.9,22.24,16.16,7.08,,外資與投信同買；前大買超分點約占成交 7.08%；收盤距區間均價 2.29%；連買：外1 / 投0；營收 2026-05，月增 112.93%，年增 69.9%，累計年增 22.24%,外資買超；投信買超；融資下降；千張大戶增持；營收 2026-05，月增 112.93%，年增 69.9%，累計年增 22.24%,68.09
2026-07-09,2897,王道銀行,TWSE,金融保險業,,20,10.55,15.51,4.93,0.72,0.48,53.33,8.87,-1.4,1.93,0.507,5.29,252,15.3,15.93,-43.53,-85.22,-1.4,19.61,2.82,10.97,7.93,5.0,2026-07-03,81.3,0.09,,85.53,9.3,0.05,0.72,2026Q1,,,,0,0.7,15.07,1.5,86.34,10.5278,0.21,96230.35,4391.82,4811.52,4158.91,0.91,0.86,-3.22,正常,14699.84,2357.0,17056.85,15.28,2.45,0,1,7,0,-1278.0,66.0,台灣摩根士丹利,6790.0,,10.52,3,台灣摩根士丹利,0,華南永昌-東昇,5337.0,,18.09,54.62,-175,-1,0.18,67.51,已取得,58.97,126.48,22.5,8.47,6.0,8.0,14.0,12.71,67.51,2026-05,-0.09,39.86,34.69,17.73,7.06,,外資與投信同買；前大買超分點約占成交 7.06%；收盤距區間均價 0.21%；連買：外0 / 投7；營收 2026-05，月增 -0.09%，年增 39.86%，累計年增 34.69%,外資買超；投信買超；融資下降；接近區間高點；逼近52週高點；主力分點連3買；營收 2026-05，月增 -0.09%，年增 39.86%，累計年增 34.69%,67.51
2026-07-09,2542,興富發,TWSE,建材營造業,,20,43.6,13.42,9.17,1.67,-3.86,43.03,26.89,-7.43,3.93,5.662,-2.32,252,11.94,4.81,-46.89,-96.34,-8.02,29.38,4.36,9.06,1.59,4.5,2026-07-03,58.56,-0.5,,62.27,29.79,0.4,-4.0,2026Q1,30.11,24.17,14.95,-1,3.25,13.42,1.8,60.77,44.3113,-1.61,255535.29,3418.03,12776.76,7085.41,0.27,0.55,-12.0,量縮,-1858.02,26329.46,24471.45,-0.73,10.3,0,2,15,0,-578.28,534.0,富邦證券,9978.0,,45.26,0,富邦證券,0,摩根大通,3474.0,,8.01,45.71,-5351,207,2.09,65.2,已取得,41.05,106.25,14.36,4.69,6.0,8.0,8.0,17.4,65.2,2026-05,-34.17,2114.21,1780.74,9.58,3.9,,投信主導買超；前大買超分點約占成交 3.9%；收盤距區間均價 -1.61%；連買：外0 / 投15；營收 2026-05，月增 -34.17%，年增 2114.21%，累計年增 1780.74%,投信買超；融資下降；千張大戶減持；營收 2026-05，月增 -34.17%，年增 2114.21%，累計年增 1780.74%,65.2
2026-07-09,2832,台產,TWSE,金融保險業,,20,56.3,10.83,6.22,1.17,3.49,50.0,27.37,-2.09,8.27,0.233,2.09,245,12.83,82.5,-46.0,-18.66,-2.09,89.88,4.67,23.72,7.68,8.0,2026-07-03,62.91,0.0,,69.2,20.67,-0.0,0.0,2026Q1,,,,0,4.61,12.21,1.5,77.62,55.5927,1.27,8382.34,268.89,419.12,207.66,0.64,0.5,-12.0,正常,783.56,530.27,1313.83,9.35,6.33,0,2,0,1,-7.0,-3.98,國票-敦北法人,366.0,,,0,國票-敦北法人,1,國泰-忠孝,377.0,,-8.25,46.01,125,0,-1.19,64.35,已取得,47.74,112.09,22.5,5.24,6.0,0.0,14.0,19.53,64.35,2026-05,6.58,88.0,49.64,15.67,4.37,,外資與投信同買；前大買超分點約占成交 4.37%；收盤距區間均價 1.27%；營收 2026-05，月增 6.58%，年增 88.0%，累計年增 49.64%,外資買超；投信買超；融資增加；隔日沖分點買超；營收 2026-05，月增 6.58%，年增 88.0%，累計年增 49.64%,64.35
2026-07-09,8927,北基,TPEX,油電燃氣業,,20,22.35,43.82,1.34,1.68,7.97,74.03,26.41,-1.11,12.03,0.085,13.78,251,-6.49,-54.2,-65.31,-155.35,-56.77,24.86,7.33,-19.17,-11.25,-2.0,2026-07-03,74.06,0.2,,83.23,10.42,-0.08,2.1,2026Q1,16.24,5.94,2.33,-1,0.49,45.61,0.3,66.91,21.2157,5.35,8049.0,404.0,402.45,415.4,1.0,1.03,0.56,正常,1762.18,0.0,1762.18,21.89,0.0,9,0,0,0,279.48,0.0,元大-東港,1279.0,,21.01,2,元大-東港,0,統一-板橋,242.0,,19.16,42.0,-162,16,2.13,63.7,已取得,53.57,117.27,22.5,19.07,0.0,6.0,6.0,19.57,63.7,2026-05,12.2,91.37,45.64,21.89,15.89,,外資主導買超；前大買超分點約占成交 15.89%；收盤距區間均價 5.35%；連買：外9 / 投0；營收 2026-05，月增 12.2%，年增 91.37%，累計年增 45.64%,外資買超；融資下降；接近區間高點；年線之下；營收 2026-05，月增 12.2%，年增 91.37%，累計年增 45.64%,63.7
